"Crime_Type","Year","Region","Total_Crimes"
"Misdrijven, totaal","2021","Utrecht (PV)",57535
"Misdrijven, totaal","2022","Utrecht (PV)",59435
"Misdrijven, totaal","2023*","Utrecht (PV)",62015
"Misdrijven, totaal","2024*","Utrecht (PV)",60350
"Misdrijven, totaal","2010","Noord-Holland (PV)",235530
"Misdrijven, totaal","2011","Noord-Holland (PV)",236880
"Misdrijven, totaal","2012","Noord-Holland (PV)",225745
"Misdrijven, totaal","2013","Noord-Holland (PV)",222530
"Misdrijven, totaal","2014","Noord-Holland (PV)",207610
"Misdrijven, totaal","2015","Noord-Holland (PV)",202670
"Misdrijven, totaal","2016","Noord-Holland (PV)",189710
"Misdrijven, totaal","2017","Noord-Holland (PV)",171760
"Misdrijven, totaal","2018","Noord-Holland (PV)",162985
"Misdrijven, totaal","2019","Noord-Holland (PV)",166930
"Misdrijven, totaal","2020","Noord-Holland (PV)",156670
"Misdrijven, totaal","2021","Noord-Holland (PV)",144990
"Misdrijven, totaal","2022","Noord-Holland (PV)",161575
"Misdrijven, totaal","2023*","Noord-Holland (PV)",168695
"Misdrijven, totaal","2024*","Noord-Holland (PV)",169585
"Misdrijven, totaal","2010","Zuid-Holland (PV)",275405
"Misdrijven, totaal","2011","Zuid-Holland (PV)",285845
"Misdrijven, totaal","2012","Zuid-Holland (PV)",269475
"Misdrijven, totaal","2013","Zuid-Holland (PV)",254775
"Misdrijven, totaal","2014","Zuid-Holland (PV)",237745
"Misdrijven, totaal","2015","Zuid-Holland (PV)",224970
"Misdrijven, totaal","2016","Zuid-Holland (PV)",218565
"Misdrijven, totaal","2017","Zuid-Holland (PV)",197600
"Misdrijven, totaal","2018","Zuid-Holland (PV)",181550
"Misdrijven, totaal","2019","Zuid-Holland (PV)",190650
"Misdrijven, totaal","2020","Zuid-Holland (PV)",193930
"Misdrijven, totaal","2021","Zuid-Holland (PV)",180340
"Misdrijven, totaal","2022","Zuid-Holland (PV)",192075
"Misdrijven, totaal","2023*","Zuid-Holland (PV)",192260
"Misdrijven, totaal","2024*","Zuid-Holland (PV)",193940
"Misdrijven, totaal","2010","Zeeland (PV)",22165
"Misdrijven, totaal","2011","Zeeland (PV)",22555
"Misdrijven, totaal","2012","Zeeland (PV)",20935
"Misdrijven, totaal","2013","Zeeland (PV)",19120
"Misdrijven, totaal","2014","Zeeland (PV)",17180
"Misdrijven, totaal","2015","Zeeland (PV)",16840
"Misdrijven, totaal","2016","Zeeland (PV)",15560
"Misdrijven, totaal","2017","Zeeland (PV)",13540
"Misdrijven, totaal","2018","Zeeland (PV)",12725
"Misdrijven, totaal","2019","Zeeland (PV)",13490
"Misdrijven, totaal","2020","Zeeland (PV)",14220
"Misdrijven, totaal","2021","Zeeland (PV)",13535
"Misdrijven, totaal","2022","Zeeland (PV)",14135
"Misdrijven, totaal","2023*","Zeeland (PV)",13560
"Misdrijven, totaal","2024*","Zeeland (PV)",14260
